                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.90265,                0.85641,                  1.262,                0.73624,                0.72256,                0.81281,                0.57585,                 1.2522,                 1.2512,                 1.7949,             4.9559e-05,             4.9559e-05,             4.9559e-05
                     48,                0.86857,                0.84674,                 1.2491,                0.80396,                0.70118,                0.82445,                0.57738,                 1.2412,                 1.1805,                 1.7691,             4.8658e-05,             4.8658e-05,             4.8658e-05
                     49,                0.86887,                0.81029,                  1.256,                0.78514,                0.68956,                0.80121,                0.56618,                 1.2822,                 1.1893,                 1.7946,             4.7757e-05,             4.7757e-05,             4.7757e-05
                     50,                0.84656,                0.76696,                 1.2674,                  0.811,                0.72113,                0.81123,                0.56613,                 1.2648,                 1.1937,                 1.7811,             4.6856e-05,             4.6856e-05,             4.6856e-05
                     51,                 0.8795,                0.83238,                 1.2493,                0.82259,                0.67895,                0.80285,                0.56077,                 1.2552,                 1.3217,                  1.785,             4.5955e-05,             4.5955e-05,             4.5955e-05
                     52,                0.85445,                0.79139,                 1.2157,                0.83068,                0.69433,                0.82587,                0.58229,                  1.232,                 1.2201,                 1.7839,             4.5054e-05,             4.5054e-05,             4.5054e-05
                     53,                0.81547,                0.75062,                 1.2189,                0.77567,                0.74903,                0.81135,                0.57723,                 1.2326,                 1.2019,                 1.7864,             4.4153e-05,             4.4153e-05,             4.4153e-05
                     54,                0.81195,                0.75655,                 1.2199,                0.83531,                0.70717,                0.82215,                0.58368,                 1.2599,                 1.2592,                 1.8055,             4.3252e-05,             4.3252e-05,             4.3252e-05
                     55,                0.84986,                 0.7668,                 1.2384,                0.81291,                0.70479,                0.81455,                0.58451,                 1.2406,                 1.2695,                 1.7842,             4.2351e-05,             4.2351e-05,             4.2351e-05
                     56,                0.81052,                0.69557,                 1.2082,                0.85428,                0.68976,                0.82121,                0.57932,                 1.2431,                  1.189,                 1.7994,              4.145e-05,              4.145e-05,              4.145e-05
                     57,                0.81332,                0.67344,                 1.2063,                0.69447,                0.76264,                0.82954,                0.58667,                 1.2312,                 1.2336,                 1.8102,              4.055e-05,              4.055e-05,              4.055e-05
                     58,                0.79915,                 0.7061,                 1.2056,                0.82663,                0.70144,                0.82824,                0.59148,                 1.2183,                 1.1934,                 1.7983,             3.9649e-05,             3.9649e-05,             3.9649e-05
